,percents,count_won,starting_player
90,"[0.4762764755808833, 0.4632948181297943, 0.40549240720191143, 0.43166844770710405, 0.47559512757259864, 0.7009294484311398, 0.6538733759420692, 0.5495315855676505]",3,Republican
91,"[0.4600141922258141, 0.4508827185300797, 0.4334973270445405, 0.484132544501531, 0.4406026668316679, 0.7070679578271831, 0.6742602789479405, 0.5094371293824467]",3,Republican
92,"[0.5811387808543437, 0.5468152951940154, 0.575079376144696, 0.6271839692100829, 0.4247427590841767, 0.4448685196330095, 0.4752099311104626, 0.4768157610065703]",4,Democrat
93,"[0.546799619728702, 0.5516647684411378, 0.6955409202224044, 0.4432488819773788, 0.4584939331216957, 0.4760334298911767, 0.47982994149912045, 0.49557041107513233]",3,Democrat
94,"[0.43817021944935486, 0.4583614617432396, 0.47329096530401926, 0.4557471467099377, 0.47496732414448667, 0.6925102533531236, 0.642178010616811, 0.5121973447381355]",3,Republican
95,"[0.572299002179149, 0.6022611753291496, 0.6991766191049131, 0.3741374002910947, 0.4421543460601137, 0.46034884273561144, 0.48687307503127814, 0.5091248512430199]",4,Democrat
96,"[0.47240004716034195, 0.44849637754482535, 0.4417094017094017, 0.45847530556446464, 0.4675981861009182, 0.6841556808971666, 0.6493123239335518, 0.520664893795173]",3,Republican
97,"[0.4442922520561974, 0.46460724536598064, 0.47536339108249587, 0.37546489916143005, 0.7060974686146445, 0.6689990449593064, 0.5421712116205692, 0.5015957797560171]",4,Republican
98,"[0.5612681946336792, 0.6594710445073754, 0.5768043430371687, 0.629555359246172, 0.35102213564313955, 0.4490886920806058, 0.451616794217822, 0.5034955376814358]",5,Democrat
99,"[0.7008611838772508, 0.5223128639438059, 0.6538239233588642, 0.5117999138109907, 0.4107076779257201, 0.43276864119421354, 0.4582809755171159, 0.45886375292039433]",4,Democrat
100,"[0.45342180244829045, 0.44625092085455303, 0.43393464475700455, 0.4490081612687297, 0.6781614774188851, 0.5792760407706214, 0.5686747744322879, 0.5314405150180794]",4,Republican
101,"[0.4449050270902211, 0.4530713364338505, 0.42431813950136044, 0.4870256265689394, 0.6920690691259708, 0.6328629615543399, 0.5185275231802196, 0.49178238211592074]",3,Republican
102,"[0.6257229843128008, 0.7036286766474427, 0.42888895350152, 0.4462059223841409, 0.44859354781557775, 0.4745978501433128, 0.5058754580489335, 0.5062891514214978]",4,Democrat
103,"[0.45579020803662423, 0.4524207749256821, 0.4297435601469768, 0.4057597706937289, 0.7348031753947843, 0.7017975624550743, 0.5029135099405094, 0.496634508631632]",3,Republican
104,"[0.45292135443886206, 0.4490382715026171, 0.48031574906960833, 0.3723714935828909, 0.6852943794223666, 0.7414601018675722, 0.5038091869531118, 0.4922420468732715]",3,Republican
105,"[0.4602009763519939, 0.4391353956183349, 0.46615277804813166, 0.46589548192591623, 0.4821893630503515, 0.6956479098357397, 0.6359714411732275, 0.4975894222308467]",2,Republican
106,"[0.4546134572547306, 0.45499231754977654, 0.4459237782779537, 0.4691422775004899, 0.47500631360754614, 0.7004280972919239, 0.6358828230878827, 0.5091473589466126]",3,Republican
107,"[0.45954124149254016, 0.44528782265565725, 0.44436778084432177, 0.46864421038462833, 0.7087739123415934, 0.42508098548638057, 0.7221853572218536, 0.4964107866168474]",2,Republican
108,"[0.5410191898087792, 0.6498416500163591, 0.6904220917485637, 0.41527760936008534, 0.4379343756739965, 0.4611431412782135, 0.47388447894628, 0.47401706519619025]",3,Democrat
109,"[0.44730700779705374, 0.44857646577966487, 0.47459791148746217, 0.47479822212912476, 0.3924463220026088, 0.6945209838999671, 0.6925585795421557, 0.5309464768882004]",3,Republican
110,"[0.5883273958421598, 0.5158973956339821, 0.7001252586864176, 0.6377944379083331, 0.34234536082474226, 0.43587234899715116, 0.4646242131345871, 0.4781870966476392]",4,Democrat
111,"[0.4496492904551098, 0.4493401386045349, 0.44989632739438085, 0.44747153774173426, 0.46663487359051586, 0.709629020877882, 0.6724157718433719, 0.5115809439173932]",3,Republican
112,"[0.4509137905323679, 0.4556164592135815, 0.4575958408766231, 0.45276183954097876, 0.4821153237757464, 0.6805301104747286, 0.6066524870488144, 0.5508166750134252]",3,Republican
113,"[0.46746009950375855, 0.4485188705334863, 0.4082296189097926, 0.420682898420604, 0.7017091625318853, 0.6343287578878392, 0.5666041342205862, 0.49435473152578413]",3,Republican
114,"[0.4520045452363043, 0.44838542466594994, 0.4426684185998343, 0.47288786854240783, 0.6728151227818451, 0.6515473684585439, 0.5335488987859192, 0.49493906561728745]",3,Republican
115,"[0.4481741920755724, 0.46107493003925487, 0.4479751128400788, 0.4618200287225472, 0.4780306311272097, 0.6874527453735143, 0.6840518973534646, 0.4964639505376554]",2,Republican
